DB_ARTICLE	DB_BRAND	ORIG_ARTICLE	ORIG_BRAND
a61230	FENOX	A61230	Fenox
a61231	FENOX	A61231	Fenox
a61235	FENOX	A61235	Fenox
a61247	FENOX	A61247	Fenox
a61252	FENOX	A61252	Fenox
a61274	FENOX	A61274	Fenox
a61283	FENOX	A61283	Fenox
a61295	FENOX	A61295	Fenox
a61298	FENOX	A61298	Fenox
a61299	FENOX	A61299	Fenox
a61301	FENOX	A61301	Fenox
a61309	FENOX	A61309	Fenox
a61324	FENOX	A61324	Fenox
a61327	FENOX	A61327	Fenox
a61328	FENOX	A61328	Fenox
a61329	FENOX	A61329	Fenox
a61330	FENOX	A61330	Fenox
a61333	FENOX	A61333	Fenox
a61546c1	FENOX	A61546C1	Fenox
a61548c1	FENOX	A61548C1	Fenox
a62005	FENOX	A62005	Fenox
a62042	FENOX	A62042	Fenox
a901003c3	FENOX	A901003C3	Fenox
a901004c3	FENOX	A901004C3	Fenox
a901005c3	FENOX	A901005C3	Fenox
a901015c3	FENOX	A901015C3	Fenox
a901103c3	FENOX	A901103C3	Fenox
a901104c3	FENOX	A901104C3	Fenox
a903005	FENOX	A903005	Fenox
a903006	FENOX	A903006	Fenox
a904011	FENOX	A904011	Fenox
a905002	FENOX	A905002	Fenox
a906015	FENOX	A906015	Fenox
a906019	FENOX	A906019	Fenox
a906021	FENOX	A906021	Fenox
a906029	FENOX	A906029	Fenox
a908003	FENOX	A908003	Fenox
a908006	FENOX	A908006	Fenox
a908016	FENOX	A908016	Fenox
a908038	FENOX	A908038	Fenox
a908039	FENOX	A908039	Fenox
a908049	FENOX	A908049	Fenox
a908050	FENOX	A908050	Fenox
a908051	FENOX	A908051	Fenox
a908053	FENOX	A908053	Fenox
a908055	FENOX	A908055	Fenox
a908057	FENOX	A908057	Fenox
a908059	FENOX	A908059	Fenox
a908060	FENOX	A908060	Fenox
a908062	FENOX	A908062	Fenox
a908067	FENOX	A908067	Fenox
a908069	FENOX	A908069	Fenox
a908071	FENOX	A908071	Fenox
a908074	FENOX	A908074	Fenox
a908078	FENOX	A908078	Fenox
a908085	FENOX	A908085	Fenox
a908091	FENOX	A908091	Fenox
a908092	FENOX	A908092	Fenox
a908100	FENOX	A908100	Fenox
a908102	FENOX	A908102	Fenox
a908107	FENOX	A908107	Fenox
a908108	FENOX	A908108	Fenox
a908109	FENOX	A908109	Fenox
a908110	FENOX	A908110	Fenox
a908112	FENOX	A908112	Fenox
a908120	FENOX	A908120	Fenox
a908121	FENOX	A908121	Fenox
a908122	FENOX	A908122	Fenox
a908132	FENOX	A908132	Fenox
a908137	FENOX	A908137	Fenox
a908145	FENOX	A908145	Fenox
a908147	FENOX	A908147	Fenox
a908149	FENOX	A908149	Fenox
a908151	FENOX	A908151	Fenox
a908152	FENOX	A908152	Fenox
a908162	FENOX	A908162	Fenox
a908170	FENOX	A908170	Fenox
a908174	FENOX	A908174	Fenox
a908184	FENOX	A908184	Fenox
a908193	FENOX	A908193	Fenox
a908198	FENOX	A908198	Fenox
a908203	FENOX	A908203	Fenox
a908207	FENOX	A908207	Fenox
a908216	FENOX	A908216	Fenox
a908220	FENOX	A908220	Fenox
a908221	FENOX	A908221	Fenox
a908226	FENOX	A908226	Fenox
a908227	FENOX	A908227	Fenox
a910001	FENOX	A910001	Fenox
af1151	FENOX	AF1151	Fenox
at29001	FENOX	AT29001	Fenox
bh1800	FENOX	BH1800	Fenox
bj10003	FENOX	BJ10-003	Hola
bj10008	FENOX	BJ10-008	Hola
bj10009	FENOX	BJ10-009	Hola
bj10012	FENOX	BJ10012	Fenox
bj10026	FENOX	BJ10-026	Hola
bj10028	FENOX	BJ10-028	Hola
bj10029	FENOX	BJ10-029	Hola
bj10064	FENOX	BJ10064	Fenox
bj10094	FENOX	BJ10094	Fenox
bj10096	FENOX	BJ10096	Fenox
bj10100	FENOX	BJ10100	Fenox
bj10104	FENOX	BJ10104	Fenox
bj10109e7	FENOX	BJ10109E7	Fenox
bj10114	FENOX	BJ10114	Fenox
bj10125	FENOX	BJ10125	Fenox
bj10139	FENOX	BJ10139	Fenox
bj10150	FENOX	BJ10-150	Hola
bj10155	FENOX	BJ10155	Fenox
bj11006	FENOX	BJ11006	Fenox
bj11016	FENOX	BJ11016	Fenox
bj12001	FENOX	BJ12-001	Hola
bj12002	FENOX	BJ12002	Fenox
bj12014	FENOX	BJ12014	Fenox
bj20037	FENOX	BJ20037	Fenox
bj20041	FENOX	BJ20041	Fenox
bj20045	FENOX	BJ20045	Fenox
bj20115	FENOX	BJ20115	Fenox
bj20141c3	FENOX	BJ20141C3	Fenox
bn00005	FENOX	BN00005	Fenox
bn00006	FENOX	BN00006	Fenox
bn00008	FENOX	BN00008	Fenox
bn00020	FENOX	BN00020	Fenox
bn00030	FENOX	BN00030	Fenox
bn00041	FENOX	BN00041	Fenox
bn00047	FENOX	BN00047	Fenox
bp40006o7	FENOX	BP40006O7	Fenox
bp40010o7	FENOX	BP40010O7	Fenox
bp40012o7	FENOX	BP40012O7	Fenox
bp43004	FENOX	BP43004	Fenox
bp43005	FENOX	BP43005	SB Nagamochi
bp43008	FENOX	BP43008	Fenox
bp43011	FENOX	BP43011	Fenox
bp43023	FENOX	BP43023	Fenox
bp43026	FENOX	BP43026	Fenox
bp43034	FENOX	BP43034	Fenox
bp43036	FENOX	BP43036	Fenox
bp43041	FENOX	BP43041	Fenox
bp43045	FENOX	BP43045	Fenox
bp43046	FENOX	BP43046	Fenox
bp43047	FENOX	BP43047	Fenox
bp43048	FENOX	BP43048	Fenox
bp43051	FENOX	BP43051	Fenox
bp43053	FENOX	BP43053	Fenox
bp43054	FENOX	BP43054	Fenox
bp43056	FENOX	BP43056	Fenox
bp43061	FENOX	BP43061	Fenox
bp43062	FENOX	BP43062	Fenox
bp43067	FENOX	BP43067	Fenox
bp43068	FENOX	BP43068	Fenox
bp43069	FENOX	BP43069	Fenox
bp43070	FENOX	BP43070	Fenox
bp43071	FENOX	BP43071	Fenox
bp43073	FENOX	BP43073	Fenox
bp43076	FENOX	BP43076	Fenox
bp43077	FENOX	BP43077	Fenox
bp43078	FENOX	BP43078	Fenox
bp43079	FENOX	BP43079	Fenox
